,VOTE_AVERAGE,BUDGET,REVENUE,cluster
0,7.6,237000000,2920357254,3
1,8.3,356000000,2799439100,3
2,7.7,460000000,2293000000,3
3,7.9,200000000,2187463944,3
4,7.3,245000000,2068223624,3
5,8.3,300000000,2046239637,3
6,8.0,200000000,1921847111,3
7,6.7,150000000,1671537444,3
8,7.1,260000000,1663075401,3
9,7.7,220000000,1518815515,3
10,7.2,190000000,1515341399,3
11,8.3,170000000,1488732821,3
12,7.3,150000000,1450026933,3
13,7.3,365000000,1405403694,3
14,7.4,200000000,1349926083,3
15,8.1,125000000,1341511219,0
16,6.8,200000000,1332698830,3
17,6.6,170000000,1310466296,3
18,7.2,150000000,1274219009,3
19,7.0,160000000,1263521126,3
20,7.5,200000000,1242805359,3
21,6.9,250000000,1236005118,3
22,6.9,200000000,1214811252,3
23,6.4,74000000,1156730962,0
24,7.4,250000000,1153337496,3
25,6.9,160000000,1148528393,3
26,7.5,160000000,1131927996,3
27,6.9,152000000,1131416446,3
28,6.2,195000000,1123794079,3
29,8.5,94000000,1118888979,0
30,7.2,200000000,1108569499,3
31,5.9,210000000,1104054072,3
32,7.8,250000000,1081041287,3
33,8.2,55000000,1074458282,2
34,6.4,250000000,1074144248,3
35,7.5,175000000,1073394593,3
36,7.8,200000000,1066969703,3
37,7.3,200000000,1065659812,3
38,7.5,200000000,1056057273,3
39,7.1,183000000,1054304000,3
40,6.5,380000000,1045713802,3
41,6.4,80000000,1031552585,0
42,7.0,200000000,1028570889,3
43,6.6,200000000,1025467110,3
44,7.7,150000000,1023784195,3
45,7.3,250000000,1021103568,3
46,8.5,185000000,1004558444,3
47,6.9,165000000,1001978080,3
48,7.9,125000000,976475550,0
49,6.9,76000000,970761885,0
50,6.9,175000000,966550600,3
51,6.8,90000000,962102237,0
52,7.2,300000000,961000000,3
53,7.6,250000000,958400000,3
54,7.3,250000000,956019788,3
55,7.4,200000001,955775804,3
56,7.8,250000000,954305868,3
57,7.8,94000000,940335536,0
58,7.5,85000000,939628210,0
59,7.7,150000000,938212738,3
60,7.7,250000000,933959197,3
61,7.2,150000000,928760770,3
62,8.4,79000000,926287400,0
63,6.5,115000000,924317558,0
64,7.9,63000000,920100000,2
65,8.0,52000000,903992901,2
66,6.2,200000000,902540935,3
67,7.8,150000000,895921036,3
68,6.4,258000000,890871626,3
69,6.7,90000000,886686817,0
70,6.5,245000000,880674609,3
71,7.4,175000000,880166924,3
72,6.3,95000000,877244782,0
73,7.7,100000000,876688482,0
74,6.3,75000000,875457937,0
75,5.9,250000000,873637528,3
76,8.4,93000000,871368364,0
77,6.6,29700000,870322670,2
78,7.4,130000000,865011746,0
79,7.6,200000000,863756051,3
80,7.3,250000000,858535561,3
81,7.9,175000000,857611174,3
82,7.6,180000000,855301806,3
83,6.8,116000000,855013954,0
84,7.4,113000000,850000000,0
85,6.2,200000000,836303693,3
86,6.5,120000000,829747654,0
87,8.4,160000000,825532764,3
88,7.2,149000000,822854286,3
89,7.3,139000000,821708551,3
90,6.9,75000000,817400891,0
91,6.3,160000000,813367380,3
92,7.3,180000000,809342332,3
93,6.9,125000000,801693929,0
94,8.2,175000000,800526015,3
95,6.6,230000000,795922298,3
96,7.5,10500000,792965500,1
97,7.4,178000000,791657398,3
98,5.8,200000000,791217826,3
99,8.0,130000000,789804554,0
100,6.8,160000000,788680968,3
101,6.0,185000000,786636033,3
102,7.5,110000000,785896609,0
103,7.2,200000000,783766341,3
104,7.6,58000000,783100000,2
105,8.2,11000000,775398007,1
106,7.4,250000000,774153007,3
107,7.9,170000000,772776600,3
108,7.7,185000000,770945583,3
109,6.7,125000000,767820459,0
110,8.3,45000000,763455561,2
111,6.6,250000000,760928081,3
112,6.9,200000000,760098996,3
113,7.1,180000000,758539785,3
114,6.7,215000000,757930663,3
115,6.8,125000000,755356711,0
116,6.3,165000000,752600867,3
117,7.5,250000000,747862775,3
118,6.6,145000000,746921274,3
119,5.9,175000000,746846894,3
120,7.1,180000000,745013115,3
121,7.0,200000000,743559607,3
122,7.9,20000000,742500000,1
123,7.0,150000000,738599701,3
124,7.9,175000000,735099082,3
125,7.2,200000000,726229501,3
126,7.2,105000000,723192705,0
127,7.7,170000000,714766572,3
128,6.2,110000000,712171856,0
129,7.3,170000000,710644566,3
130,6.0,50000000,709827462,2
131,6.8,150000000,709709780,3
132,6.5,200000000,708962323,3
133,7.2,35000000,701842551,2
134,8.4,165000000,701729206,3
135,6.2,68000000,698491347,0
136,7.1,145000000,694713380,3
137,7.2,75000000,694394724,0
